unique_id,indicator_id,name,measure,measure_info,geo_type_name,geo_join_id,geo_place_name,time_period,start_date,data_value
131403,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,503,Willowbrook,2009-2011,2009-01-01,16.0
334058,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,408,Jamaica,Summer 2015,2015-06-01,9.08
336578,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,402,West Queens,Summer 2015,2015-06-01,16.3
670932,386,Ozone (O3),Mean,ppb,UHF34,202,Downtown - Heights - Slope,Summer 2020,2020-06-01,28.79
176013,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,202,Downtown - Heights - Slope,Summer 2012,2012-06-01,20.18
176659,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,307,Gramercy Park - Murray Hill,Annual Average 2012,2011-12-01,37.29
336690,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,408,Jamaica,Winter 2014-15,2014-12-01,23.94
825810,375,Nitrogen dioxide (NO2),Mean,ppb,Borough,1,Bronx,Annual Average 2022,2022-01-01,16.00255405
175884,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,106,High Bridge - Morrisania,Summer 2009,2009-06-01,26.46
669925,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,316,Brownsville (CD16),Annual Average 2020,2020-01-01,6.11
154518,644,Annual vehicle miles traveled (cars),Million miles,per square mile,CD,206,Belmont and East Tremont (CD6),2005,2005-01-01,64.515174
216392,386,Ozone (O3),Mean,ppb,CD,208,Riverdale and Fieldston (CD8),Summer 2009,2009-06-01,23.73
165863,375,Nitrogen dioxide (NO2),Mean,ppb,CD,107,Upper West Side (CD7),Winter 2010-11,2010-12-01,33.62
876976,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,501,Port Richmond,Winter 2022-23,2022-12-01,20.23958141
221852,386,Ozone (O3),Mean,ppb,UHF34,207,East Flatbush - Flatbush,Summer 2012,2012-06-01,33.38
336859,375,Nitrogen dioxide (NO2),Mean,ppb,CD,405,Ridgewood and Maspeth (CD5),Annual Average 2015,2015-01-01,19.37
741223,375,Nitrogen dioxide (NO2),Mean,ppb,CD,310,Bay Ridge and Dyker Heights (CD10),Winter 2020-21,2020-12-01,22.37811751
628974,655,Asthma hospitalizations due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,203,Bedford Stuyvesant - Crown Heights,2015-2017,2015-01-01,33.9
176031,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,309,Union Square - Lower East Side,Summer 2012,2012-06-01,25.28
817051,644,Annual vehicle miles traveled (cars),Million miles,per square mile,CD,209,Parkchester and Soundview (CD9),2010,2010-01-01,56.724193
874460,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,401,Long Island City - Astoria,Winter 2022-23,2022-12-01,6.882464971
177855,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,103,Fordham - Bronx Pk,Summer 2011,2011-06-01,11.48
131066,653,Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,502,Stapleton - St. George,2005-2007,2005-01-01,73.2
216592,386,Ozone (O3),Mean,ppb,CD,411,Bayside and Little Neck (CD11),Summer 2011,2011-06-01,33.12
176036,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,404,Bayside - Little Neck,Summer 2012,2012-06-01,14.59
547745,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,407,Flushing and Whitestone (CD7),Winter 2016-17,2016-12-01,8.04
336748,375,Nitrogen dioxide (NO2),Mean,ppb,CD,110,Central Harlem (CD10),Annual Average 2015,2015-01-01,23.25
154557,644,Annual vehicle miles traveled (cars),Million miles,per square mile,CD,501,St. George and Stapleton (CD1),2005,2005-01-01,24.067231
178459,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,301,Washington Heights,Annual Average 2010,2009-12-01,10.71
518773,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",UHF42,402,West Queens,2012-2014,2012-01-02,26.29411986
169465,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,110,Central Harlem (CD10),Summer 2012,2012-06-01,10.8
671109,386,Ozone (O3),Mean,ppb,CD,315,Sheepshead Bay (CD15),Summer 2020,2020-06-01,30.57
741067,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,302,Central Harlem - Morningside Heights,Winter 2020-21,2020-12-01,21.81898634
176544,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,408,Jamaica,Annual Average 2009,2008-12-01,22.29
177277,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,206,Borough Park,Winter 2011-12,2011-12-01,9.16
178470,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,402,West Queens,Annual Average 2010,2009-12-01,9.89
216575,386,Ozone (O3),Mean,ppb,CD,408,Hillcrest and Fresh Meadows (CD8),Summer 2012,2012-06-01,33.05
876860,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,101,Kingsbridge - Riverdale,Annual Average 2023,2023-01-01,14.61424758
817211,645,Annual vehicle miles traveled (trucks),Million miles,per square mile,UHF42,409,Southeast Queens,2010,2010-01-01,1.637079
817264,645,Annual vehicle miles traveled (trucks),Million miles,per square mile,CD,208,Riverdale and Fieldston (CD8),2019,2019-01-01,2.66564
